//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
14548 - 800 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE
//Astea Frostweb
9965 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9966 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9967 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9968 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9969 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9970 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9971 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9972 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9973 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9974 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9975 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9976 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9977 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9978 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9979 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9980 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9981 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9982 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9983 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9984 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9985 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9986 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9987 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9988 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9989 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9990 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9991 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE
9992 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE
9993 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE
9994 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE
9995 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
9995 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
9996 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
9997 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
9998 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
9999 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
10000 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE
10001 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10002 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10003 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10004 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10005 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10006 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10007 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10008 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10009 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE
10010 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10011 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10012 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10013 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10014 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10015 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE
10016 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
10017 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
10018 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
10019 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
10020 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
10021 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
//Gluttonous behemoth
9948 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9949 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9950 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9951 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9952 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9953 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE
9954 - 3960 13717 13716 13715 5 4 0 169 SPECIAL -1 -1 AGRESSIVE
9955 - 3960 13717 13716 13715 5 4 0 169 SPECIAL -1 -1 AGRESSIVE
9956 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE
9957 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE
9958 - 5560 13717 13716 13715 3 4 0 221 SPECIAL -1 -1 AGRESSIVE
9959 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE
9960 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE
9961 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE
9962 - 7000 13717 13716 13715 5 4 0 300 SPECIAL -1 -1 AGRESSIVE
9963 - 7000 13717 13716 13715 5 4 0 350 SPECIAL -1 -1 AGRESSIVE
9964 - 7000 13717 13716 13715 5 4 0 407 SPECIAL -1 -1 AGRESSIVE
//barrow brothers
//dharok maxhit 300 + 380 at 0hp
2026 - 1000 2067 2063 7197 3 3 0 300 MELEE -1 -1 AGRESSIVE
2025 - 1050 14223 2079 7197 4 3 0 200 MAGE 2741 2735 AGRESSIVE
2027 - 1000 2080 2063 7197 4 3 0 240 MELEE -1 -1 AGRESSIVE
2028 - 1000 2075 424 7197 6 3 0 207 RANGE -1 27 AGRESSIVE
//Man - 2
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Black Unicorn - 27
133 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE
//Man - 2
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Man - 2
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Woman - 2
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Woman - 2
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Woman - 2
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Farmer - 7
7 - 120 -1 -1 -1 4 1 60 19 MELEE -1 -1 PASSIVE
//Thief - 16
8 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Guard - 21
9 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Wizard - 9
13 - 140 -1 -1 -1 4 1 60 40 MAGE -1 -1 PASSIVE
//Man - 2
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Al-Kharid warrior - 9
18 - 190 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//White Knight - 36
19 - 530 -1 -1 -1 8 1 60 60 MELEE -1 -1 PASSIVE
//Paladin - 62
20 - 660 -1 -1 -1 5 1 60 89 MELEE -1 -1 PASSIVE
//Hero - 69
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE
//Man - 2
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Woman - 2
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Guard - 20
32 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Shipyard worker - 11
38 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Shipyard worker - 11
39 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Chicken - 1
41 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE
//Duck - 1
46 - 30 -1 -1 -1 4 1 60 8 MELEE -1 -1 PASSIVE
//Rat - 1
47 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE
//Oomlie bird - 46
48 - 400 -1 -1 -1 5 1 60 50 MELEE -1 -1 PASSIVE
//Hellhound - 122
49 - 1150 6562 6563 6564 5 1 60 118 MELEE -1 -1 AGRESSIVE
//King Black Dragon - 276
50 - 2400 91 89 92 5 3 60 254 SPECIAL -1 -1 AGRESSIVE
//Frost dragon - 166
51 - 1600 13151 13154 13153 5 1 60 213 SPECIAL -1 -1 AGRESSIVE
//Baby blue dragon - 48
52 - 510 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//Red dragon - 152
53 - 1400 12252 12251 12250 5 1 60 144 SPECIAL2 -1 -1 AGRESSIVE
//Black dragon - 227
54 - 1900 12252 12251 12250 5 1 60 214 SPECIAL2 -1 -1 AGRESSIVE
//Blue dragon - 111
55 - 1050 12252 12251 12250 5 1 60 110 SPECIAL2 -1 -1 AGRESSIVE
//Shadow spider - 52
58 - 550 -1 -1 -1 4 1 60 56 MELEE -1 -1 AGRESSIVE
//Giant spider - 2
59 - 67 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//Giant spider - 27
60 - 320 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//Spider - 1
61 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//Jungle spider - 44
62 - 500 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//Deadly red spider - 34
63 - 350 5327 5328 5329 4 1 60 40 MELEE -1 -1 AGRESSIVE
//Ice spider - 61
64 - 650 5327 5328 5329 5 2 60 60 MELEE -1 -1 AGRESSIVE
//Zombie - 13
73 - 220 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Zombie - 18
74 - 240 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Zombie - 24
75 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Zombie - 25
76 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Giant bat - 21
78 - 320 4915 4916 4917 4 1 36 0 MELEE -1 -1 AGRESSIVE
//Death wing - 83
79 - 780 4915 4916 4917 4 1 60 80 MELEE -1 -1 AGRESSIVE
//Cow - 2
81 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//Lesser demon - 82
82 - 790 64 65 67 5 1 60 85 MELEE -1 -1 AGRESSIVE
//Greater demon - 92
83 - 870 64 65 67 5 1 60 97 MELEE -1 -1 AGRESSIVE
//Black demon - 172
84 - 1570 -1 -1 -1 5 1 60 167 MELEE -1 -1 AGRESSIVE
//Giant rat - 2
86 - 53 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Giant rat - 6
87 - 100 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Dungeon rat - 12
88 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//Skeleton Mage - 16
94 - 170 -1 -1 -1 4 1 60 100 MAGE -1 -1 PASSIVE
//White wolf - 38
97 - 450 -1 -1 -1 4 1 60 60 MELEE -1 -1 AGRESSIVE
//Goblin - 2
100 - 50 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Goblin - 5
101 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Goblin - 13
102 - 120 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Ghost - 19
103 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Ghost - 19
104 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Grizzly bear - 21
105 - 270 4925 4927 4929 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Black bear - 19
106 - 250 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//Scorpion - 14
107 - 170 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Poison Scorpion - 20
108 - 230 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Pit Scorpion - 28
109 - 320 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Fire giant - 86
110 - 1110 -1 -1 -1 6 1 60 116 MELEE -1 -1 AGRESSIVE
//Ice giant - 53
111 - 700 4672 4671 4673 6 1 60 77 MELEE -1 -1 AGRESSIVE
//Moss giant - 42
112 - 600 -1 -1 -1 7 1 60 110 MELEE -1 -1 AGRESSIVE
//Jogre - 53
113 - 600 -1 -1 -1 7 1 60 73 MELEE -1 -1 AGRESSIVE
//Mogre - 60
114 - 480 -1 -1 -1 5 1 60 89 MELEE -1 -1 AGRESSIVE
//Ogre - 53
115 - 600 -1 -1 -1 7 1 60 73 MELEE -1 -1 AGRESSIVE
//Cyclops - 56
116 - 750 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//Hill Giant - 28
117 - 350 4652 4654 4653 7 1 60 48 MELEE -1 -1 AGRESSIVE
//dwarf
118 - 160 99 100 102 7 1 60 48 MELEE -1 -1 PASSIVE
119 - 610 -1 -1 -1 5 1 60 63 MELEE -1 -1 AGRESSIVE
//Earth warrior - 51
124 - 540 -1 -1 -1 5 1 60 56 MELEE -1 -1 AGRESSIVE
//Ice warrior - 57
125 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//Otherworldly being - 64
126 - 660 -1 -1 -1 5 1 60 70 MELEE -1 -1 PASSIVE
//Magic axe - 42
127 - 440 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//Poison spider - 64
134 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//Terrorbird - 28
138 - 340 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Terrorbird - 28
139 - 340 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Soulless - 18
140 - 240 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Big Wolf - 73
141 - 740 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//Jungle Wolf - 64
143 - 690 -1 -1 -1 4 1 60 69 MELEE -1 -1 AGRESSIVE
//King Scorpion - 32
144 - 300 -1 -1 -1 5 1 60 40 MELEE -1 -1 AGRESSIVE
//Ice warrior - 57
145 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//Shadow warrior - 48
158 - 670 -1 -1 -1 5 1 60 65 MELEE -1 -1 AGRESSIVE
//Gnome woman - 1
168 - 20 -1 -1 -1 4 1 60 10 RANGE -1 -1 PASSIVE
//Gnome woman - 1
169 - 20 -1 -1 -1 4 1 60 10 RANGE -1 -1 PASSIVE
//Man - 2
170 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Dark wizard - 20
172 - 250 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//Invrigar the Necromancer - 20
173 - 240 -1 -1 -1 5 1 60 30 MELEE -1 -1 PASSIVE
//Dark wizard - 7
174 - 120 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//Mugger - 6
175 - 80 -1 -1 -1 4 1 60 14 MELEE -1 -1 AGRESSIVE
//Black Knight - 33
178 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//Black Knight - 33
179 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//Highwayman - 5
180 - 130 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Chaos druid - 13
181 - 200 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Pirate - 23
182 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 23
183 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
184 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Rogue - 15
187 - 170 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Monk of Zamorak - 22
188 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Monk of Zamorak - 17
189 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Monk of Zamorak - 45
190 - 400 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Chaos druid warrior - 37
193 - 400 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//Jailer - 47
201 - 470 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//Black Heather - 34
202 - 370 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//Donny the Lad - 34
203 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//Speedy Keith - 34
204 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//Salarin the Twisted - 70
205 - 700 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//Black Knight Titan - 120
221 - 1420 -1 -1 -1 4 1 60 150 MELEE -1 -1 AGRESSIVE
//Dungeon rat - 12
224 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//Renegade Knight - 37
237 - 490 -1 -1 -1 4 1 60 75 MELEE -1 -1 AGRESSIVE
//Thrantax the Mighty - 92
238 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//Sir Mordred - 39
247 - 500 -1 -1 -1 4 1 60 57 MELEE -1 -1 AGRESSIVE
//Khazard Guard - 23
255 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//Khazard Guard - 23
256 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//Bouncer - 137
269 - 1160 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//Guardian of Armadyl - 45
274 - 500 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
